"Entity Name","i Issue Name","Primary Asset ID","Nominal Holding","Delta","Market Value","Effective Exposure"
"Electric Cont Indust Pens Fund","19SEP24 DCAP","19SEP24 DCAP","64.00","1.00000","0.00","13,678,080.00"
"Electric Cont Indust Pens Fund","19SEP24 DCAR","19SEP24 DCAR","30.00","1.00000","0.00","10,205,700.00"
"Electric Cont Indust Pens Fund","20JUN24 DCAP","20JUN24 DCAP","0.00","1.00000","0.00","0.00"
"Electric Cont Indust Pens Fund","20JUN24 DCAR","20JUN24 DCAR","0.00","1.00000","0.00","0.00"
"PIM Core Equity","19SEP24 ALSI","19SEP24 ALSI","9.00","1.00000","0.00","6,636,780.00"
"PIM Core Equity","19SEP24 DTOP","19SEP24 DTOP","677.00","1.00000","0.00","92,830,240.00"
"PIM Core Equity","20JUN24 DTOP","20JUN24 DTOP","0.00","1.00000","0.00","0.00"
"Private Security Sector - PIM","19SEP24 DCAP","19SEP24 DCAP","529.00","1.00000","0.00","113,057,880.00"
"Private Security Sector - PIM","20JUN24 DCAP","20JUN24 DCAP","0.00","1.00000","0.00","0.00"
"Transport Sector RF - PIM","19DEC24 ALSI","19DEC24 ALSI","-101.00","1.00000","0.00","-75,600,520.00"
"Transport Sector RF - PIM","19DEC24 ALSI 75000C","19DEC24 ALSI 75000C","187.00","0.51434","0.00","71,993,452.14"
"Transport Sector RF - PIM","19SEP24 ALSI","19SEP24 ALSI","112.00","1.00000","0.00","82,591,040.00"
"Transport Sector RF - PIM","19SEP24 ALSI 68000C","19SEP24 ALSI 68000C","0.00","0.81803","0.00","0.00"
"Transport Sector RF - PIM","19SEP24 ALSI 78000C","19SEP24 ALSI 78000C","-97.00","0.21377","0.00","-15,290,700.28"
"Transport Sector RF - PIM","20JUN24 ALSI","20JUN24 ALSI","0.00","1.00000","0.00","0.00"
"Transport Sector RF - PIM","20JUN24 ALSI 62000P","20JUN24 ALSI 62000P","0.00","0.00000","0.00",""
"Transport Sector RF - PIM","20JUN24 ALSI 72000C","20JUN24 ALSI 72000C","0.00","0.97285","0.00",""
