instrument_code,isin_code,issuer,ticker
NEDSUN041126,,NEDBANK LTD SA,NEDSUN041126
NEDSUN121126,,NEDBANK LTD SA,NEDSUN121126
NEDSUN161126,,NEDBANK LTD SA,NEDSUN161126
NEDSUN201126,,NEDBANK LTD SA,NEDSUN201126
NEDSUN251126,,NEDBANK LTD SA,NEDSUN251126
NEDSUN301126,,NEDBANK LTD SA,NEDSUN301126
NEDSUN071226,,NEDBANK LTD SA,NEDSUN071226
NEDSUN211226A,,NEDBANK LTD SA,NEDSUN211226A
NEDSUN211226,,NEDBANK LTD SA,NEDSUN211226
NEDSUN281226,,NEDBANK LTD SA,NEDSUN281226
H143T3,ZAG000226275,HARCOURT STREET 1 RF LIMITED,H143T3
H45T2U,ZAG000226192,HARCOURT STREET 1 RF LIMITED,H45T2U
DVF35B,ZAG000219999,DEVELOPMENT BANK OF SOUTHERN AFRICA,DVF35B
DVF35C,ZAG000221029,DEVELOPMENT BANK OF SOUTHERN AFRICA,DVF35C
IPF34,ZAG000192816,INVESTEC BANK LTD SA,IPF34
NEDSUN110127,,NEDBANK LTD SA,NEDSUN110127
NEDSUN110127A,,NEDBANK LTD SA,NEDSUN110127A
NEDSUN210127,,NEDBANK LTD SA,NEDSUN210127
AMF6B1,ZAG000227034,,AMF6B1
AMF6C1,ZAG000227042,,AMF6C1
AH6A11,ZAG000227000,,AH6A11
AMF6D1,ZAG000227059,,AMF6D1
DTP08U,ZAG000200734,DAIMLER TRUCK SOUTHERN AFRICA LTD,DTP08U
AMF6B1,ZAG000227034,AMBER HOUSE FUND 6 (RF) LIMITED,AMF6B1
AMF6C1,ZAG000227042,AMBER HOUSE FUND 6 (RF) LIMITED,AMF6C1
AH6A11,ZAG000227000,AMBER HOUSE FUND 6 (RF) LIMITED,AH6A11
AMF6D1,ZAG000227059,AMBER HOUSE FUND 6 (RF) LIMITED,AMF6D1
