instrument_code,instrument_name,sub_security_type,currency,first_held_since_cutoff,last_held,maturity_date,funds,reference_rate
ABFN61,ABSA Bank Ltd FRN ABFN61 JB3+132 240228,FRN,ZAR,2026-05-04,2026-08-21,2028-02-24,PCSHQ,JIBAR
ABFN63,ABSA Bank Ltd FRN ABFN63 JB3+105 280626,FRN,ZAR,2026-05-04,2026-06-26,2026-06-29,"CCTCSH,PCSHQ,PEYF",JIBAR
ABFN66,ABSA Bank Ltd FRN ABFN66 JB3+103 150926,FRN,ZAR,2026-05-04,2026-08-21,2026-09-15,AFLMMF,JIBAR
ABFN68,ABSA Bank Ltd FRN ABFN68 JB3+128 150930,FRN,ZAR,2026-05-04,2026-08-21,2030-09-15,"BCIFIF,IPIPF,MASAINC,PWMIPF_P",JIBAR
ABFN69,ABSA Bank Ltd FRN ABFN69 JB3+107 071226,FRN,ZAR,2026-05-04,2026-08-21,2026-12-07,"BCIFIF,PCMMF,PIPF,PMMF",JIBAR
ABGN03,Absa Bank Ltd ABGN03 JB3+155 270629,FRN,ZAR,2026-05-04,2026-08-21,2029-06-27,AFLMMF,JIBAR
ABGN07,Absa Bank Ltd ABGN07 JB3+83 080828,FRN,ZAR,2026-05-04,2026-08-21,2028-08-08,AFLMMF,JIBAR
ABGN08,Absa Bank Ltd ABGN08 JB3+100 080830,FRN,ZAR,2026-05-04,2026-08-21,2030-08-08,AFLMMF,JIBAR
ABJ05,AFRICAN BANK LTD RSA ABJ05 JB3+300 300327 (20270330),CLN,ZAR,2026-05-04,2026-08-21,2027-03-30,PIF,JIBAR
ABJ11,African Bank Limited ABJ11 JB3+257 280728,FRN,ZAR,2026-05-04,2026-08-21,2028-07-28,PIPFP,JIBAR
ABSAF080327,Absa FRN JB3+127.5 080327,FRN,ZAR,2026-05-04,2026-08-21,2027-03-08,AFLMMF,JIBAR
ABSAF160926,Absa FRN JB3+50 160926,FRN,ZAR,2026-05-04,2026-08-21,2026-09-16,"ADVMM,CMPFCASH,HOLMMF,IJGMMF,MASAMMF,PMMF,PRLMMF,SABCCSHF,SASRMM,SYMMMF,UOZMMF",JIBAR
AGL04,Absa Group Ltd AGL04 JB3+175 210929,FRN,ZAR,2026-05-04,2026-08-21,2029-09-21,"HOLYPF,PEYF",JIBAR
AGLG02,Absa Group Ltd AGLG02 JB3+172 260828,FRN,ZAR,2026-05-04,2026-08-21,2028-08-26,"BCIFIF,IPIPF,MASAINC,PEYF,PWMIPF_P",JIBAR
AGRI03,Agrarius Sustainability Engineered (Rf) Limited AGRI03 JB6+375 300928,FRN,ZAR,2026-05-04,2026-08-21,2028-09-30,PIPFP,JIBAR
AGRIB1,Agrarius Sustainability Engineered (Rf) Limited AGRIB1 JB6+425 310327,FRN,ZAR,2026-05-04,2026-08-21,2027-03-31,PIPFP,JIBAR
AGT06,ABSA FRN AGT06 JB3+294 310828,FRN,ZAR,2026-05-04,2026-08-18,2028-10-31,"BCIFIF,IPIPF,MASAINC,PWMIPF_P",JIBAR
AGT07,ABSA FRN AGT07 JB3+290 140529,FRN,ZAR,2026-05-04,2026-08-18,2029-05-14,"3BBCIINC,AMMARF,ASHFLX,ENGENIP,GRFINV,HOLADC,HOLDINC,HOLIDC,MASAINC,MEDINC,MOMBBF,NGKINC,PIF,PIPF,PIPFP,PORFIP,PPSFLEX,PSIF,PSTIF,SAAMINC,SILAIF,STBFIP,UCTINC,USAIPF",JIBAR
AH6A11,Amber House Fund FRN AH6A11 JB3+102 210829(210863),FRN,ZAR,2026-08-11,2026-08-21,2029-08-21,"AFLMMF,CCTCSH,HOLYPF,PIPF",JIBAR
AMF6B1,Amber House Fund FRN AMF6B1 JB3+129 210831(210863),FRN,ZAR,2026-08-11,2026-08-21,2031-08-21,"3BBCIINC,AMMARF,ASHFLX,BCIFIF,CMPFINC,ENGENIP,GRFINV,HOLDINC,IPIPF,MASAINC,MEDINC,MOMBBF,MYQIP,NGKINC,OMMAIF,PIPF,PORFIP,PPSFLEX,PSIF,PSTIF,PTIF,PWMIPF_P,SAAMINC,SDINCPM,SILAIF,STBFIP,UCTINC,USAIPF",JIBAR
AMF6C1,Amber House Fund FRN AMF6C1 JB3+158 210831(210863),FRN,ZAR,2026-08-11,2026-08-21,2031-08-21,"3BBCIINC,AMMARF,ASHFLX,BCIFIF,CMPFINC,ENGENIP,GRFINV,HOLDINC,IPIPF,MASAINC,MEDINC,MOMBBF,MYQIP,NGKINC,OMMAIF,PIPF,PORFIP,PPSFLEX,PSIF,PSTIF,PTIF,PWMIPF_P,SAAMINC,SDINCPM,SILAIF,STBFIP,UCTINC,USAIPF",JIBAR
AMF6D1,Amber House Fund FRN AMF6D1 JB3+245 210831(210863),FRN,ZAR,2026-08-11,2026-08-21,2031-08-21,PIPFP,JIBAR
APF24,Accelerate Property Fund APF24 JB3+350 310327,FRN,ZAR,2026-05-04,2026-08-21,2027-03-31,"3BBCIINC,ASHFLX,CMPFCASH,CMPFINC,ENGENIP,GRFINV,HOLDINC,HOLYPF,HOSMED,IJGIPF,IJGMMF,IMPALA,IPIPF,MASAINC,MEDINC,MOMBBF,MOMIPF,NGKINC,PCSHQ,PEYF,PFFIF,PIF,PIPF,PIPFP,PORFIP,PPSFLEX,PSIF,PSTIF,PTIF,SAAMINC,SDINCPM,STBFIP,TRFINC,TRFWLTH,UCT3YQ,UCTINC,UCTRFINC,USAIPF",JIBAR
ASC013,Absa Nedbank Group CLN ASC013 JB3+327.5 060428,CLN,ZAR,2026-05-04,2026-08-21,2028-04-06,"ASHFLX,GRFINV,HOLDINC,HOLYPF,IPIPF,MASAINC,NGKINC,PFFIF,PIPF,PIPFP,PORFIP,PSTIF,PWMIPF_P,SAAMINC,SDINCPM,SILAIF,TRFINC,UCTINC,USAIPF",JIBAR
ASC014,ABSA Standardbank CLN ASC014 JB3+327.5 060428,CLN,ZAR,2026-05-04,2026-08-21,2028-04-06,"ASHFLX,GRFINV,HOLDINC,HOLYPF,IPIPF,MASAINC,NGKINC,PFFIF,PIPF,PORFIP,PSTIF,PWMIPF_P,SAAMINC,TRFINC,UCTINC,USAIPF",JIBAR
ASC015,Absa FirstRand Bank CLN ASC015 JB3+327.5 060428,CLN,ZAR,2026-05-04,2026-08-21,2028-04-06,"ASHFLX,GRFINV,HOLDINC,HOLYPF,IPIPF,MASAINC,NGKINC,PFFIF,PIPF,PIPFP,PORFIP,PSTIF,PWMIPF_P,SAAMINC,SILAIF,TRFINC,UCTINC,USAIPF",JIBAR
ASC046,ABSA BANK ASC046 JB3+300.5 230831 (20310823),CLN,ZAR,2026-05-04,2026-08-21,2031-08-23,"PIMIDF,PIPFP",JIBAR
ASC063,ABSA MTN CLN ASC063 JB3+187 150928,CLN,ZAR,2026-05-04,2026-08-21,2028-09-15,"3BBCIINC,CMPFINC,GRFINV,HOLDINC,IPIPF,MASAINC,NGKINC,PIPF,PPSFLEX,PSIF,PSTIF,PTIF,PWMIPF_P,SDINCPM,SILAIF,STBFIP,TRFINC,UCTINC,USAIPF",JIBAR
ASC068,ABSA RSA CLN ASC068 JB3+300 280235,CLN,ZAR,2026-05-04,2026-08-21,2035-02-28,"AFLMMF,IMPALA",JIBAR
ASC071,ABSA DBSA CLN ASC071 JB3+267 131030,CLN,ZAR,2026-05-04,2026-08-21,2030-10-13,PIPFP,JIBAR
ASC103,ABSA City Of Cape Town CLN ASC103 JB3+317 190231,FRN,ZAR,2026-05-04,2026-08-21,2031-02-19,PIPFP,JIBAR
ASC159,ABSA RSA CLN ASC159 JB3+200 310232,CLN,ZAR,2026-05-04,2026-08-21,2032-03-31,"3BBCIINC,AMMARF,ASHFLX,CMPFINC,ENGENIP,HOLDINC,IPIPF,MEDINC,MOMBBF,NGKINC,OMMAIF,PFFIF,PIPF,PIPFP,PORFIP,PPSFLEX,PSIF,PSTIF,PTIF,PWMIPF_P,SAAMINC,STBFIP,UCTINC,USAIPF",JIBAR
ASC162,ABSA RSA CLN ASC162 JB3+210 310140,CLN,ZAR,2026-05-04,2026-08-21,2040-01-31,"3BBCIINC,AMMARF,ASHFLX,CMPFINC,ENGENIP,HOLDINC,IPIPF,MASAINC,MEDINC,MOMBBF,NGKINC,OMMAIF,PEYF,PIPF,PORFIP,PPSFLEX,PSIF,PSTIF,PTIF,PWMIPF_P,SAAMINC,SDINCPM,SILAIF,STBFIP,UCTINC,USAIPF",JIBAR
ASC163,ABSA RSA CLN ASC163 JB3+180 310332,CLN,ZAR,2026-05-04,2026-08-21,2032-03-31,"3BBCIINC,AMMARF,ASHFLX,CMPFINC,ENGENIP,HOLDINC,IPIPF,MASAINC,MEDINC,MOMBBF,NGKINC,OMMAIF,PEYF,PIPF,PORFIP,PPSFLEX,PSIF,PSTIF,PTIF,PWMIPF_P,SAAMINC,SDINCPM,SILAIF,STBFIP,UCTINC,USAIPF",JIBAR
ASC177,ABSA RSA CLN ASC177 JB3+160 310332,CLN,ZAR,2026-05-04,2026-08-21,2032-03-31,PEYF,JIBAR
ASC185,ABSA LTD MTN CLN ASC185 JB3+180 311029,CLN,ZAR,2026-05-04,2026-08-21,2029-10-31,"PIPF,STBFIP",JIBAR
ASC187,ABSA LTD MTN CLN ASC187 JB3+177 071129,CLN,ZAR,2026-05-04,2026-08-21,2029-11-07,"3BBCIINC,AMMARF,ASHFLX,CMPFINC,IPIPF,MASAINC,MOMBBF,NGKINC,PIPF,PORFIP,PSIF,PTIF,SAAMINC,SDINCPM,SILAIF,STBFIP,UCTINC,USAIPF",JIBAR
ASC189,ABSA LTD MTN CLN ASC189 JB3+219 130929,CLN,ZAR,2026-05-04,2026-08-21,2029-09-13,PIPFP,JIBAR
ASC190,ABSA Transet SOC CLN ASC190 JB3+312 141127,CLN,ZAR,2026-05-04,2026-08-21,2027-11-14,"3BBCIINC,AMMARF,ASHFLX,CMPFINC,ENGENIP,GRFINV,HOLDINC,MASAINC,MOMBBF,NGKINC,PEYF,PIPF,PIPFP,PPSFLEX,PSIF,PSTIF,PTIF,PWMIPF_P,SILAIF,STBFIP,UCTINC,USAIPF",JIBAR
ASC220,ABSA INDUSTRIAL DEVELOPMENT CORPORATION SA LTD CLN ASC220 JB3+220 251129,CLN,ZAR,2026-05-04,2026-08-21,2029-11-25,"3BBCIINC,AMMARF,ASHFLX,CMPFINC,ENGENIP,GRFINV,HOLADC,HOLDINC,HOLIDC,IPIPF,MASAINC,MEDINC,MOMBBF,MYQIP,NGKINC,OMMAIF,PFFIF,PIPF,PORFIP,PPSFLEX,PSIF,PSTIF,PTIF,PWMIPF_P,SAAMINC,SDINCPM,SILAIF,STBFIP,TRFINC,UCTINC,USAIPF",JIBAR
ASC248,ABSA Nedbank CLN ASC248 JB3+110 300428,FRN,ZAR,2026-05-04,2026-08-21,2028-04-30,"CMPFCASH,HOLYPF,IJGMMF,IMPALA,MOMIPF,PCSHQ,TRFWLTH,UCTRFINC",JIBAR
ASC251,Absa Super Groups Ltd CLN ASC251 JB3+162 030728,CLN,ZAR,2026-05-04,2026-08-21,2028-07-03,"3BBCIINC,AMMARF,ASHFLX,CMPFINC,ENGENIP,GRFINV,HOLYPF,IPIPF,MASAINC,MOMBBF,MYQIP,NGKINC,PEYF,PIPF,PORFIP,PSIF,PSTIF,PTIF,PWMIPF_P,SAAMINC,SDINCPM,SILAIF,STBFIP,UCTINC,USAIPF",JIBAR
ASC272,ABSA MTN CLN ASC272 JB3+175 020730,CLN,ZAR,2026-05-04,2026-08-21,2030-07-02,"HOLADC,HOLIDC,PIPF,TRFINC",JIBAR
ASC291,Absa Bank Limited RSA CLN ASC291 JB3+145 050930,CLN,ZAR,2026-05-04,2026-08-21,2030-09-05,"3BBCIINC,AMMARF,ASHFLX,BCIFIF,CMPFINC,HOLDINC,IPIPF,MASAINC,MEDINC,MOMBBF,MYQIP,NGKINC,PIPF,PPSFLEX,PSTIF,PTIF,PWMIPF_P,SAAMINC,SDINCPM,SILAIF,STBFIP,UCTINC,USAIPF",JIBAR
ASC315,Absa Bank Limited RSA CLN ASC315 JB3+118 301130,CLN,ZAR,2026-05-04,2026-08-21,2030-11-20,"BCIFIF,HOLYPF,IPIPF,MASAINC,OMMAIF,PEYF,PIPF,PTIF,PWMIPF_P",JIBAR
ASN545,Absa Bank RSA ASN545 JB3+271 310723 (20370131),CLN,ZAR,2026-05-04,2026-08-21,2028-07-31,IMPALA,JIBAR
ASN611,ABSA RSA ASN611 JB3+360 (Cap = 11.285%) 310326 (310332),CLN,ZAR,2026-05-04,2026-08-21,2027-03-31,"AFLMMF,IMPALA",JIBAR
ASN614,ABSA RSA FRN ASN614 JB3+225 211226,FRN,ZAR,2026-05-04,2026-08-21,2027-12-21,OMMAIF,JIBAR
ASN627,Absa Bank RSA CLN ASN627 JB3+369 280227,CLN,ZAR,2026-05-04,2026-08-21,2027-02-28,"AFLMMF,IMPALA",JIBAR
ASN904,ABSA CLN ASN904 JB3+200 200626,CLN,ZAR,2026-05-04,2026-06-19,2026-06-20,PIPFP,JIBAR
ASN913,Absa Bank RSA CLN ASN913 JB3+320 280235,CLN,ZAR,2026-05-04,2026-08-21,2035-02-28,IMPALA,JIBAR
ASN916,Absa Bank RSA CLN ASN916 JB3+320 280235,CLN,ZAR,2026-05-04,2026-08-21,2035-02-28,IMPALA,JIBAR
ASN917,Absa Bank RSA CLN ASN917 JB3+300 280235,CLN,ZAR,2026-05-04,2026-08-21,2035-02-28,IMPALA,JIBAR
ASN980,Absa Bank Ltd ASN980 JB3+208 020429,CLN,ZAR,2026-05-04,2026-08-21,2029-04-02,"PFFIF,PIPFP",JIBAR
ASN982,ABSA BANK Ltd ASN982 JB3+240 150228 (20280215),FRN,ZAR,2026-05-04,2026-08-21,2028-02-15,PIPFP,JIBAR
BDX35,Blue Diamond X Investments (RF) Ltd BDX35 FRN JB3+321 160626 (160933),FRN,ZAR,2026-05-04,2026-06-15,2026-06-16,"AFLMMF,IMPALA",JIBAR
BERG111244,Bergriver Senior 111244 JB3+225,WHOLE LOAN,ZAR,2026-05-04,2026-08-21,2044-12-11,"PIMEVO,PIMIDF",JIBAR
BPPF54,BNP Paribas SA BPPF54 FRN JB3+72 120926,FRN,ZAR,2026-05-04,2026-08-21,2026-09-12,"CCTCSH,CMPFCASH,OMLMMF,PCSHQ,PEYF,SABCCSHF",JIBAR
BPPF56,BNP Paribas SA BPPF56 FRN JB3+99 120928,FRN,ZAR,2026-05-04,2026-08-21,2028-09-12,"CCTCSH,HOLYPF,IJGMMF,IMPALA,MOMIPF,PCSHQ,PEYF,TRFWLTH,UCTRFINC",JIBAR
BTNC12,Burstone Group Ltd JB3+50 310726,FRN,ZAR,2026-05-04,2026-07-29,2026-07-31,"ADVMM,HOLMMF,MASAMMF,MASASI,OMLMMF,PMMF,PRLMMF,SABCCSHF,SASRMM,SISMMF,SYMMMF,UOZMMF",JIBAR
BWNDF030130,Bankwindhoek FRN JB3+40 030130,FRN,NAD,2026-05-04,2026-08-21,2030-01-03,PPSNAM,JIBAR
BWNDF110230,Bank Of Windhoek FRN JB3+38 110230,FRN,NAD,2026-05-04,2026-08-21,2030-02-11,PPSNAM,JIBAR
BWNDF130230,Bank Of Windhoek FRN JB3+38 130230,FRN,NAD,2026-05-04,2026-08-21,2030-02-13,PPSNAM,JIBAR
BWNDF140529,Bank of Windhoek FRN JB3+28 140529,FRN,NAD,2026-05-04,2026-08-21,2029-05-14,PPSNAM,JIBAR
BWNDF170429,Bank Of Windhoek FRN JB3+28 170429,FRN,NAD,2026-05-04,2026-08-21,2029-04-17,PPSNAM,JIBAR
CGR60,Calgro M3 Developments Proprietary Limited FRN JB3+433 291229,FRN,ZAR,2026-05-04,2026-08-21,2029-12-12,PIPFP,JIBAR
CGR62,Calgro M3 Developments Proprietary Ltd CGR62 FRN JB3+390 290129,FRN,ZAR,2026-05-04,2026-08-21,2029-01-29,PFFIF,JIBAR
CIG04,Consolidated CIG04 FRN 010419 JB3+310,FRN,ZAR,2026-05-04,2026-08-21,2027-01-29,MOMBBRF,JIBAR
CL583U,Standardbank Simacel CLN JB3+265 050133,CLN,ZAR,2026-05-04,2026-08-21,2033-01-05,PIMIDF,JIBAR
CLN614,Standard Bank CLN DBSA JB3+175 CLN614 301123,CLN,ZAR,2026-05-04,2026-05-29,2026-05-31,"3BBCIINC,AFLMMF,AMMARF,ASHFLX,CMPFCASH,CMPFINC,ENGENIP,GRFINV,HOLDINC,IPIPF,MASAINC,MOMBBF,MOMIPF,NGKINC,PCSHQ,PIPF,PORFIP,PPSFLEX,PSIF,PSTIF,PWMIPF_P,SAAMINC,SABCCSHF,SDINCPM,STBFIP,TRFINC,UCTINC,UCTRFINC,USAIPF",JIBAR
CLN634,Standard Bank CLN Telkom SOC JB3+210 CLN634 090227,CLN,ZAR,2026-05-04,2026-08-21,2027-02-09,"3BBCIINC,AMMARF,ASHFLX,CMPFCASH,CMPFINC,ENGENIP,GRFINV,HOLDINC,HOLYPF,HOSMED,IMPALA,IPIPF,MASAINC,MOMBBF,NGKINC,PCSHQ,PEYF,PIPF,PORFIP,PSIF,PSTIF,PTIF,PWMIPF_P,SAAMINC,STBFIP,TRFINC,TRFWLTH,UCT3YQ,UCTINC,UCTRFINC,USAIPF",JIBAR
CLN646,Standard Bank IDC CLN646 JB3+237 290127,CLN,ZAR,2026-05-04,2026-08-21,2027-01-29,AFLMMF,JIBAR
CLN744,Standard Bank RSA CLN744 JB3+317 310130,FRN,ZAR,2026-05-04,2026-08-21,2030-01-31,OMMAIF,JIBAR
CLN746,Standard Bank RSA CLN746 JB3+332 280235,CLN,ZAR,2026-05-04,2026-08-21,2035-02-28,"AFLMMF,IMPALA",JIBAR
CLN829,RSA Standard Bank of SA Ltd CLN CLN829 JB3+300 310125 (310130),CLN,ZAR,2026-05-04,2026-08-21,2030-01-31,"HOLADC,HOLIDC,PIPF",JIBAR
CLN915,Standard Bank RSA CLN915 JB3+475 20321220,CLN,ZAR,2026-05-04,2026-08-21,2032-12-20,"3BBCIINC,AMMARF,ASHFLX,BCIFIF,ENGENIP,GRFINV,HOLDINC,HOLYPF,IJGIPF,IPIPF,MASAINC,MEDINC,MOMBBF,PIPF,PORFIP,PPSFLEX,PSIF,PWMIPF_P,SAAMINC,SDINCPM,STBFIP,UCTINC,USAIPF",JIBAR
CLN945,Standard Bank Sasol CLN945 JB3+305 200628,CLN,ZAR,2026-05-04,2026-08-21,2028-06-20,"3BBCIINC,AMMARF,ASHFLX,BCIFIF,ENGENIP,GRFINV,HOLDINC,HOLYPF,IJGIPF,IPIPF,MASAINC,MEDINC,MOMBBF,PIPF,PORFIP,PPSFLEX,PSIF,PWMIPF_P,SAAMINC,SDINCPM,STBFIP,UCTINC,USAIPF",JIBAR
CLN947,Standardbank Sasol CLN947 JB3+320 200628,CLN,ZAR,2026-05-04,2026-08-21,2028-06-20,"3BBCIINC,AMMARF,ASHFLX,BCIFIF,ENGENIP,GRFINV,HOLDINC,HOLYPF,IJGIPF,IPIPF,MASAINC,MEDINC,MOMBBF,PIPF,PORFIP,PPSFLEX,PSIF,PWMIPF_P,SAAMINC,SDINCPM,STBFIP,UCTINC,USAIPF",JIBAR
CLN962,Standard Bank RSA CLN962 JB3+300 300926 (20320331),CLN,ZAR,2026-05-04,2026-08-21,2026-09-30,PIPFP,JIBAR
CLN994,Standard Bank Sasol CLN994 JB3+355 201228,CLN,ZAR,2026-05-04,2026-08-21,2028-12-20,"3BBCIINC,AMMARF,ASHFLX,BCIFIF,ENGENIP,GRFINV,HOLDINC,IPIPF,MASAINC,MEDINC,MOMBBF,PIPF,PORFIP,PPSFLEX,PSIF,PWMIPF_P,SAAMINC,SDINCPM,STBFIP,UCTINC,USAIPF",JIBAR
CREDEONERHEA280328A,CREDE ONE RHEA SPV4 JB3+0 280328,FRN,ZAR,2026-05-04,2026-08-21,2028-03-28,"PIMIDF,PIPFP",JIBAR
DSY06,Discovery Ltd DSY06 JB3+173bps 210527,FRN,ZAR,2026-05-04,2026-08-21,2027-05-21,"BCIFIF,CCTCSH,CMPFCASH",JIBAR
DSYC04,Discovery Ltd DSYC04 JB3+69 100327,FRN,ZAR,2026-05-04,2026-08-21,2027-03-10,"ADVMM,CMPFCASH,HOLMMF,LNBINS,LNBLIN,MASAMMF,MASASI,OMLMMF,PMMF,PRLMMF,SABCCSHF,SASRMM,SISMMF,SYMMMF,UOZMMF",JIBAR
DTF006,DAIMLER TRUCK SOUTHERN AFRICA Ltd RSA DTF006 JB3+103 150626,FRN,ZAR,2026-05-04,2026-06-12,2026-06-15,"ADVMM,HOLMMF,PMMF",JIBAR
DTP08U,Daimler Truck Southern Africa Limited DTP08U JB3+90 081126,VB,ZAR,2026-08-14,2026-08-21,2026-11-08,"ADVMM,HOLMMF,OMLMMF,PMMF,SISMMF,SYMMMF,UOZMMF",JIBAR
DVF27,DBSA FRN Bond DVF27 JB3+183 020429,FRN,ZAR,2026-05-04,2026-08-21,2029-04-02,PIF,JIBAR
DVF29,Development Bank SA FRN JB3+185 DVF29 270628,FRN,ZAR,2026-05-04,2026-08-21,2029-06-27,"ENGENIP,MYQIP,PIF,SAAMINC,TRFINC",JIBAR
DVF31C,Development Bank SA JB3+200 DVF31C 151224 080731,FRN,ZAR,2026-05-04,2026-08-21,2031-07-08,PIPFP,JIBAR
DVF35B,DBSA FRN DVF35B JB3+195 171035,FRN,ZAR,2026-07-01,2026-08-21,2035-10-17,PIPFP,JIBAR
DVF35C,DBSA FRN DVF35C JB3+192 201135,FRN,ZAR,2026-07-01,2026-08-21,2035-11-20,PIPFP,JIBAR
DVFB26,Development Bank SA DVFB26 JB3+164 310526,FRN,ZAR,2026-05-04,2026-05-29,2026-05-31,"HOLYPF,PIF",JIBAR
EAGLESA300432,Eagle FRN 300432 JB3+495,WHOLE LOAN,ZAR,2026-05-04,2026-08-21,2032-04-30,PIMIDF,JIBAR
ENELADAMS,Adams Wind Farm Loan JB3+230 311228,WHOLE LOAN,ZAR,2026-05-04,2026-08-21,2028-12-31,PIMEVO,JIBAR
ENELGIBSON,Gibson Bay Wind Farm Loan JB3+230 311228,WHOLE LOAN,ZAR,2026-05-04,2026-08-21,2028-12-31,PIMEVO,JIBAR
ENELNOJOLI,Nojoli Wind Farm Loan JB3+230 311228,WHOLE LOAN,ZAR,2026-05-04,2026-08-21,2028-12-29,PIMEVO,JIBAR
ENELPALEIS,Paleisheuwel Solar Farm Loan JB3+230 311228,WHOLE LOAN,ZAR,2026-05-04,2026-08-21,2028-12-31,PIMEVO,JIBAR
ENELPULIDA,Pulida Solar Farm Loan JB3+230 311228,WHOLE LOAN,ZAR,2026-05-04,2026-08-21,2028-12-31,PIMEVO,JIBAR
ENELTOM,Tom Burke Solar Farm Loan JB3+230 311228,WHOLE LOAN,ZAR,2026-05-04,2026-08-21,2028-12-31,PIMEVO,JIBAR
EQT027,Equites Property Fund Ltd EQT027 JB3+83 150526,FRN,ZAR,2026-05-04,2026-05-14,2026-05-15,"ADVMM,CCTCSH,CMPFCASH,HOLMMF,IJGMMF,IMPALA,MASAMMF,MASASI,MOMIPF,OMLMMF,PCSHQ,PMMF,PRLMMF,SABCCSHF,SASRMM,SISMMF,SYMMMF,TRFWLTH,UCT3YQ,UCTINC,UOZMMF",JIBAR
FIFB34,Fortress Income FRN FIFB34 JB3+95 250329,FRN,ZAR,2026-05-04,2026-08-21,2029-03-25,AFLMMF,JIBAR
FNBJ28S,Firstrand Namibia FRN JB3+78 240328,FRN,NAD,2026-05-04,2026-08-21,2028-03-24,"IJGIPF,IJGMMF,PPSNAM",JIBAR
FR28SB,Firstrand FRN JB3+85 FR28SB 010428,FRN,ZAR,2026-05-04,2026-08-21,2028-04-01,AFLMMF,JIBAR
FRB35,Firstrand Bank Ltd FRB35 JB3+190 060233,FRN,ZAR,2026-05-04,2026-08-21,2028-02-07,"3BBCIINC,AFLMMF,AMMARF,ASHFLX,BCIFIF,CCTCSH,CMPFINC,ENGENIP,GRFINV,HOLDINC,HOLYPF,HOSMED,IMPALA,IPIPF,MASAINC,MEDINC,MOMBBF,MOMIPF,MYQIP,NGKINC,PCSHQ,PEYF,PIF,PIPF,PORFIP,PPSFLEX,PSIF,PSTIF,PTIF,PWMIPF_P,SAAMINC,SDINCPM,SILAIF,STBFIP,TRFINC,TRFWLTH,UCT3YQ,UCTINC,UCTRFINC,USAIPF",JIBAR
FRB36,Firstrand Bank Ltd FRB36 JB3+188 140933,FRN,ZAR,2026-05-04,2026-08-21,2028-09-14,PEYF,JIBAR
FRB38,Firstrand Bank Ltd FRB38 JB3+296 060529,FRN,ZAR,2026-05-04,2026-08-21,2029-05-06,BCIFIF,JIBAR
