reference_rate,instrument_code,instrument_name,currency,maturity_date,first_held_since_cutoff,last_held,funds,first_issue_date
JIBAR,NEDSUN041126,Nedbank Semi-annual Step-Up FRN 041126 JB3+90 (20290511),ZAR,04 11 2026,04 05 2026,21 08 2026,"OMLMMF,SASRMM",OTC
JIBAR,NEDSUN121126,Nedbank Semi-annual Step-Up FRN JB3+90 121126 (20291105),ZAR,12 11 2026,12 05 2026,21 08 2026,SASRMM,OTC
JIBAR,NEDSUN161126,Nedbank Semi-annual Step-Up FRN JB3+105 161126 (20290514),ZAR,16 11 2026,14 05 2026,21 08 2026,"ADVMM,PCMMF,PMMF,PRLMMF,SABCCSHF,SISMMF,SYMMMF,UOZMMF",OTC
JIBAR,NEDSUN201126,Nedbank Semi-annual Step-Up FRN 201126 JB3+87.50 (20291120),ZAR,20 11 2026,20 05 2026,21 08 2026,"OMLMMF,SASRMM",OTC
JIBAR,NEDSUN251126,Nedbank Semi-annual Step-Up FRN JB3+57.5 251126 (20281127),ZAR,25 11 2026,25 05 2026,21 08 2026,"PCMMF,PMMF,PRLMMF,SABCCSHF,UOZMMF",OTC
JIBAR,NEDSUN301126,Nedbank Semi-annual Step-Up FRN JB3+85 301126 (20291128),ZAR,30 11 2026,28 05 2026,21 08 2026,SASRMM,OTC
JIBAR,NEDSUN071226,Nedbank Semi-annual Step-Up FRN JB3+115 071226 (20280606),ZAR,07 12 2026,08 06 2026,21 08 2026,"ADVMM,HOLMMF,OMLMMF,PCMMF,PMMF,PRLMMF,SABCCSHF,SISMMF,SYMMMF,UOZMMF",OTC
JIBAR,NEDSUN211226,Nedbank Step-Up Note Semi- Annual FRN JB3+107.5 211226 (20290620),ZAR,21 12 2026,22 06 2026,21 08 2026,"CMPFCASH,IJGMMF,OMLMMF,PMMF,SABCCSHF,SASRMM,SYMMMF,UOZMMF",OTC
JIBAR,NEDSUN211226A,Nedbank Semi-Annual Step-Up Note FRN JB3+117.5 211226 (20281221),ZAR,21 12 2026,22 06 2026,21 08 2026,"ADVMM,HOLMMF,OMLMMF,PCMMF,PRLMMF,SISMMF,UOZMMF",OTC
JIBAR,NEDSUN281226,Nedbank Step-Up Note Semi- Annual FRN JB3+117.5 281226 (20281227),ZAR,28 12 2026,29 06 2026,21 08 2026,"HOLMMF,PCSHQ,PMMF,PRLMMF,SISMMF,UOZMMF",OTC
